n,dynamic_time,brute_time
14,0.0001652240753173828,0.004335880279541016
16,0.0002071857452392578,0.0022368431091308594
18,0.00016164779663085938,0.0014219284057617188
20,0.00021958351135253906,0.004504680633544922
22,0.00022864341735839844,0.014080286026000977
24,0.0002605915069580078,0.014149665832519531
26,0.0005598068237304688,0.024514198303222656
28,0.00036787986755371094,0.02469325065612793
30,0.0002779960632324219,0.02603769302368164
34,0.00031500000000000000,0.41660800000000000
38,0.0003520000000000000,6.66572800000000000
